2025-10-05 11:03:56.951666     kpi-001- start: 05_(L-1,R-4)---stop: 05_(L-1,R-4) 
2025-10-05 11:04:34.608012     kpi-002- start: 05_(L-1,R-4)---stop: 06_(L-1,R-5) 
2025-10-05 11:05:12.074973     kpi-003- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:05:48.840266     kpi-004- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:06:26.061579     kpi-005- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:07:03.054472     kpi-006- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:07:40.164639     kpi-007- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:08:17.776161     kpi-008- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:08:54.446886     kpi-009- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:09:31.381678     kpi-010- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:10:08.312969     kpi-011- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:10:46.244202     kpi-012- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:11:23.191256     kpi-013- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:12:00.346056     kpi-014- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:12:37.371642     kpi-015- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:13:14.154066     kpi-016- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:13:51.419907     kpi-017- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:14:28.019040     kpi-018- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:15:05.048758     kpi-019- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
2025-10-05 11:15:42.097141     kpi-020- start: 06_(L-1,R-5)---stop: 06_(L-1,R-5) 
