kpi-001- start: 03_(L-1,R-2)---stop: 05_(L-1,R-4) 
kpi-001- start: 03_(L-1,R-2)---stop: 04_(L-1,R-3) 
kpi-002- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-003- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-004- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-005- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-006- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-007- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-008- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-009- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-010- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-011- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-012- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-013- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-014- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-015- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-016- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-017- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-018- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-019- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
kpi-020- start: 04_(L-1,R-3)---stop: 04_(L-1,R-3) 
