kpi-001- start: 15_(L-1,R-14)---stop: 17_(L-1,R-16) 
kpi-002- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-003- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-004- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-005- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-006- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-007- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-008- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-009- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-010- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-011- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-012- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-013- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-014- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-015- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-016- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-017- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-018- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-019- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
kpi-020- start: 17_(L-1,R-16)---stop: 17_(L-1,R-16) 
